ID,Subject,Bangla,Arabic,Urdu,English,Pronunciation
MN-04,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,রূপা,فِضَّةٌ,چاندی,Silver,(সিলভার)
MN-05,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,সীসা,رَصَاصٌ,سیسہ,Lead,(লেড)
MN-06,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,"ইস্পাত, লোহা",فُوْلَادٌ,فولاد,Steel,(স্টিল)
MN-07,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,"তামা, তাম্র",نُحَاسٌ,تانبا,Copper,(কপার)
MN-08,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,পিতল,نُحَاسٌ أَصْفَرُ,پیتل,Brass,(ব্রাস)
MN-09,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,হীরা,أَلْمَاسٌ,ہیرا,Diamond,(ডায়মন্ড)
MN-10,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,"স্ফটিক, স্বচ্ছ প্রস্তর বিশেষ",بِلَّوْرٌ,بلور,Crystal,(ক্রিস্টাল)
MN-11,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,পান্না,زُمُرُّدٌ,پنّا,Emerald,(এমারেল্ড)
MN-12,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,"পারদ, তরল ধাতু বিশেষ",زِئْبَقٌ,پارہ,Mercury,(মারকারি)
MN-13,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,"গন্ধক, পীতবর্ণ মৌলিক পদার্থ বিশেষ",كِبْرِيْتٌ,گندھک,Sulphur,(সালফার)
MN-14,খনিজ সম্পর্কিত الْمَعَادِنُ وَمُتَعَلِّقَاتُهَا About Minerals,ইয়াকুত,يَاقُوْتٌ,یاقوت,Sapphire,(স্যাফায়ার)
LD-01,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ভূমি,أَرْضٌ,زمین,Land,(ল্যান্ড)
LD-02,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,লবণাক্ত মাটি,ثَرٰى,نمناک مٹی,Salty land,(সল্টি ল্যান্ড)
LD-03,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,মাটি,تُرَابٌ,مٹی,Earth,(আর্থ)
LD-04,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ধুলা,غُبَارٌ,غبار,Dust,(ডাস্ট)
LD-05,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,বালি,رَمْلٌ,ریت,Sand,(স্যান্ড)
LD-06,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,কাদা মাটি,طِيْنٌ,گیلی مٹی,Mud,(মাড)
LD-07,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,কাদা,وَحْلٌ,کیچڑ,Mire,(মায়ার)
LD-08,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,কঙ্কর,حَصَاةٌ,کنکری,Concrete,(কনক্রিট)
LD-09,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ছাই,رَمَادٌ,راکھ,Ash,(অ্যাশ)
LD-10,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,পাথর,حَجَرٌ,پتھر,Stone,(স্টোন)
LD-11,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,"শক্ত, বৃহৎ পাথর",صَخْرَةٌ,چٹان,Large hard stone,(লার্জ হার্ড স্টোন)
LD-12,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,গুহা,كَهْفٌ,غار,Cave,(কেইভ)
LD-13,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,গর্ত,مَغَارٌ,گڑھا,Hole,(হোল)
LD-14,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,সমতল ভূমি,سَهْلٌ,ہموار زمین,Plain island,(প্লেইন আইল্যান্ড)
LD-15,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,"নির্জন মাঠ, বালুময় প্রান্তর",صَحْرَاءُ,"بیاباں، ریگستان",Desert,(ডেজার্ট)
LD-16,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,"গাছ, বৃক্ষ",شَجَرَةٌ,درخت,Tree,(ট্রি)
LD-17,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ছায়া,ظِلٌّ,سایہ,Shadow,(শ্যাডো)
LD-18,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,পাহাড়,جَبَلٌ,پہاڑ,Hill,(হিল)
LD-19,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,আগ্নেয়গিরি,بَرْكَانٌ,کوہ آتش فشاں,Volcano,(ভলকানো)
LD-20,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,গরম পানি,حَمْئَةٌ,گرم پانی,Hot water,(হট ওয়াটার)
LD-21,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,সমুদ্র,بَحْرٌ,سمندر,Sea,(সি)
LD-22,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,নদী,نَهْرٌ,دریا,River,(রিভার)
LD-23,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,জোয়ার-ভাটা,مَدٌّ و جَزْرٌ,جوار بھاٹا,Ebb and Flow Tide,(এবিবি অ্যান্ড ফ্লো টাইড)
LD-24,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,তীর ,شَاطِئٌ,کنارا,Bank,(ব্যাংক)
LD-25,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,"কুল, তীর",سَاحِلٌ,کنارا,Shore,(শোর)
LD-26,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,সামুদ্রিক বন্দর,مِيْنَاءٌ,بندر گاہ,Sea port,(সি পোর্ট)
LD-27,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ঝিল,بُحَيْرَةٌ,جھیل,Lake,(লেক)
LD-28,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,পুকুর,غَدِيْرَةٌ,تالاب,Pond,(পন্ড)
LD-29,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ঝর্ণা,عَيْنٌ,چشمہ,Waterfall,(ওয়াটারফল)
LD-30,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,স্রোত,سَيْلٌ,رو,Tide,(টাইড)
LD-31,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,নালা,سَاقِيَةٌ,نالی,Canal,(ক্যানাল)
LD-32,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ঢেউ,مَوْجٌ,لہر,Wave,(ওয়েভ)
LD-33,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ভূমিকম্প,زَلْزَلَةٌ,بھونچال,Earthquake,(আর্থকোয়াক)
LD-34,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,কাঠের কয়লা,فَحْمُ خَشَبٍ,لکٹری کا کوئلہ,Charcoal,(চারকোল)
LD-35,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,পাথরের কয়লা,فَحْمُ حَجَرٍ,پتھر کا کوئلہ,Stone-coal,(স্টোন-কোল)
LD-36,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,"স্ফলিঙ্গ, অগ্নিশিখা",لَهْبٌ,شعلہ,Spark,(স্পার্ক)
LD-37,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,পানির প্রবাহ,مَجْرٰى,پانی کا بہاؤ,Flow,(ফ্লো)
LD-38,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,স্রোতের গতিপথ,مَصَبٌّ,دہانہ,Streamline,(স্ট্রিমলাইন)
LD-39,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,উৎস,مَنْبَعٌ,سوت,Source,(সোর্স)
LD-40,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,টিলা,نَجِيْدٌ,ٹیلہ,Hillock,(হিলক)
LD-41,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,ফাটল,صَدْعٌ,دراز,Crack,(ক্র্যাক)
LD-42,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,"ক্ষেত, ফসলের মাঠ",أَبْعَدِيَّةٌ,گھیت,Field,(ফিল্ড)
LD-43,ভূমি এবং তৎসংশ্লিষ্ট اَلْأَرْضُ وَمُتَعَلِّقَاتُهَا About Land and Its Related Terms,আগ্নেয়গিরি,جَبَلُ النَّارِ,آتشیں پہاڑ,Volcano,(ভলকানো)
SK-01,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,আকাশ,"سَمَاءٌ، فُلْكٌ",آسمان,Sky,(স্কাই)
SK-02,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"আকাশের প্রান্ত, দিগন্ত",أُفُقٌ,آسمان کا کنارہ,Horizon,(হরাইজন)
SK-03,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"খোলা, আকাশ ও পৃথিবীর মধ্যবর্তী শূন্যস্থান",جَوٌّ,خلا,Space,(স্পেস)
SK-04,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,সূর্য ,شَمْسٌ,سورج,Sun,(সান)
SK-05,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,চাঁদ,قَمَرٌ,چاند,Moon,(মুন)
SK-06,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"চৌদ্দ তারিখের চাঁদ, পূর্ণিমার চাঁদ",بَدْرٌ,چودھویں رات کا چاند,Full moon,(ফুল মুন)
SK-07,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,নূতন চাঁদ,هِلَالٌ,پہلی رات کا چاند,New moon,(নিউ মুন)
SK-08,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"চাঁদনী, জ্যোৎস্না",ضُوْءُ الْقَمَرِ,چاندنی,Moonlit,(মুনলিট)
SK-09,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,তারকা,"كَوْكَبٌ، نَجْمٌ",ستارہ,Star,(স্টার)
SK-10,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,এমন তারকা যার পিছনে প্রলম্বিত আলোর বিচ্ছ্বরণ থাকে,"نَجْمٌ، ذُوْ ذَنَبٍ",دم دار ستارہ,Comet,(কমেট)
SK-11,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"আলো, কিরণ",شُعَاعٌ,کرن,Light,(লাইট)
SK-12,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"বায়ু, বাতাস",رِيْحٌ,ہوا,Air,(এয়ার)
SK-13,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,(ঘূর্ণিঝড়),عَاصِفٌ,آندھی,Cyclone,(সাইক্লোন)
SK-14,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,মেঘ,"غَيْمَةٌ، سَحَابٌ",بادل,Cloud,(ক্লাউড)
SK-15,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"ফোটা, বৃষ্টির কণা",قَطْرَةٌ,بوند,Raindrop,(রেইনড্রপ)
SK-16,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,বৃষ্টি,"مَطَرٌ، غَيْثٌ",بارش,Rain,(রেইন)
SK-17,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,শিল,بَرَدٌ,اولہ,Hailstone,(হেইলস্টোন)
SK-18,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"তুষার, বরফ",صَقِيْعٌ,پالا,Ice,(আইস)
SK-19,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,রংধনু,"قَوْسٌ، قَزَحٌ",دھنک,Rainbow,(রেইনবো)
SK-20,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,বাষ্প,بُخَارٌ,بھاپ,Steam,(স্টিম)
SK-21,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,কুয়াশা,ضَبَابٌ,کہر,Fog,(ফগ)
SK-22,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,শিশির,طَلٌّ,شبنم,Dew,(ডিউ)
SK-23,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,বরফ,"ثَلْجٌ، جَلِيْدٌ",برف,Ice,(আইস)
SK-24,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,বিজলী,بَرْقٌ,بجلی,Lightning,(লাইটনিং)
SK-25,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,গর্জন,رَعْدٌ,گرج,Thunder,(থান্ডার)
SK-26,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,বিদ্যুৎ চমক,صَاعِقَةٌ,جلانیوالا بجلی,Lightning,(লাইটনিং)
SK-27,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,ধোঁয়া,دُخَانٌ,دھواں,Smoke,(স্মোক)
SK-28,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"বৃষ্টিপাত, বৃষ্টির ছিটা",دَخَّةٌ الْمَطَرِ,بوجھاڑ,Raindrop,(রেইনড্রপ)
SK-29,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,চন্দ্রগহণ,خُسُوْفٌ,چاند گرہن,Lunar eclipse,(লুনার ইক্লিপস)
SK-30,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,সূর্যগ্রহণ,كُسُوْفٌ,سورج گرہن,Solar eclipse,(সোলার ইক্লিপস)
SK-31,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,উদয় হওয়া,طُلُوْعٌ,نکلنا,Rise,(রাইজ)
SK-32,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,অস্ত,غُرُوْبٌ,چھپنا,Set,(সেট)
SK-33,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,আলো,نُوْرٌ,روشنی,Light,(লাইট)
SK-34,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,অন্ধকার,ظُلْمَةٌ,اندھیری,Dark,(ডার্ক)
SK-35,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,ঝড়,دِيْمَةٌ,جھڑی,Storm,(স্টর্ম)
SK-36,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,চাঁদনী রাত,لَيْلَةُ الْمُقْمِرَةِ,چاندنی رات,Moonlit night,(মুনলিট নাইট)
SK-37,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,"চৌদ্দ তারিখের রাত, পূর্ণিমার রাত",بَلْمَاءٌ,چودھویں رات,Full moonlit night,(ফুল মুনলিট নাইট)
SK-38,আকাশ এবং তৎসংশ্লিষ্ট اَلسَّمَاءُ وَمُتَعَلِّقَاتُهَا The Sky and Its Related Terms,লু হওয়া/গরম বাতাস,حَرُوْرٌ,لو,Hot air,(হট এয়ার)
IN-01,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,মাছি,ذُبَابٌ,مکھی,Fly,(ফ্লাই)
IN-02,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,মৌমাছি,نَحْلَةٌ,شہد کی مکھی,Bee,(বী)
IN-03,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,ঝিঁ ঝিঁ পোকা,صُرْسُرٌ,جھینگر,Cricket,(ক্রিকেট)
IN-04,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,তুতিয়া,زَلْقَطَةٌ,تتیا,Silkworm,(সিল্কওয়ার্ম)
IN-05,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,"বোলতা, ভিমরুল",زَنْبُوْرٌ,بھڑ,Wasp / Hornet,(ওয়াস্প / হর্নেট)
IN-06,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,জোনাকী,سِرَاجُ اللَّيْلِ,جگنو,Glow-worm,(গ্লো-ওয়ার্ম)
IN-07,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,মাকড়সা,عَنْكَبُوْتٌ,مکڑی,Spider,(স্পাইডার)
IN-08,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,ছার পোকা,بَرْغُوْثٌ,پسّو,Bug,(বাগ)
IN-09,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,মশা,"بَقٌّ، بَعُوْضَةٌ، نَامُوْسٌ",مچھر,Mosquito,(মসকিটো)
IN-10,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,প্রজাপতি,قَرَاشَةٌ,تیتری تتلی,Butterfly,(বাটারফ্লাই)
IN-11,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,তিতির পাখি,فُرْفُوْدٌ,تیتری,A kind of bird,(আ কাইন্ড অব বার্ড)
IN-12,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,রক্তপায়ী কীট,قُوَادٌ,چیچڑی,Bloodsucker,(ব্লাড সাকার)
IN-13,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,উঁকুর,قُمَّلٌ,جوں,Louse,(লাউস)
IN-14,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,ছার পোকা,كُتَّانٌ,کھٹمل,Bug,(বাগ)
IN-15,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,গোবরী পোকা,"جُعَلٌ، خُنْفُسَاءُ",گبریلا کیڑا,Beetle,(বিটল)
IN-16,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,গেছো শামুক,بَزَّاقَةٌ,ایک کیڑا جو درختوں کا ستیانا کرتا ہے,Climbing snail,(ক্লাইম্বিং স্নেল)
IN-17,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,গিরগিটি,"حِرْذَوْنٌ، وَزَغَةٌ",چھپکلی,Lizard,(লিজার্ড)
IN-18,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,শতপদী,أُمُّ سَبْعَةٍ وَّسَبْعِيْنَ,کنکھجورا,Centipede,(সেন্টিপিড)
IN-19,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,কাঠ বিড়ালী,قَارَةُ الْمَرِّ,گلہڑی,Squirrel,(স্কুইরেল)
IN-20,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,ছোট উকুন,صُوَابَةٌ,جوں کا بچہ,Louse,(লাউস)
IN-21,বিভিন্ন ধরণের কীট-পতঙ্গ اَلْحَشَرَاتُ الْمُخْتَلِفَةُ Various Kinds of Insects,ভীমরুল,بُرْقَانٌ,بھنبیری,Hornet,(হর্নেট)
IC-01,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,উই পোকা,أَرْضَةٌ,دیمک,White ant,(হোয়াইট অ্যান্ট)
IC-02,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,কোমন সাপ জাতীয়,جَارَنٌ,سنپولیا,Common snake,(কমন স্নেক)
IC-03,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,কাল সাপ,أَفْعٰى,کالا سانپ,Black snake,(ব্ল্যাক স্নেক)
IC-04,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,অজগর,"تِنِّيْنٌ، ثُعْبَانٌ",اژدہا,Python,(পাইথন)
IC-05,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,সাপ,حَيَّةٌ,سانپ,Snake,(স্নেক)
IC-06,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,সাপের খোলস,مِسْلَاخٌ,کینچی,Slough,(স্লাফ)
IC-07,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,বিচ্ছু,عَقْرَبٌ,بچھو,Scorpion,(স্করপিওন)
IC-08,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,পিঁপড়া,نَمْلَةٌ,چیونٹی,Ant,(অ্যান্ট)
IC-09,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,কীট-পতঙ্গ,دُوْدٌ,"کیڑا، مکوڑا",Insect,(ইনসেক্ট)
IC-10,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,রেশম কীট,دُوْدُ الْقَزِّ,مکوڑا,Silkworm,(সিল্কওয়ার্ম)
IC-11,কীট-পতঙ্গ حَشَرَاتُ الْأَرْضِ Insects and Crawling Creatures,কেঁচো,خَرَاطِيْنُ,کیچوے,Earthworm,(আর্থওয়ার্ম)
